file_nm,element_id,amount,unit_ref,decimals,contextref
jpcrp020200-srs-001_E05663-000_2018-06-30_02_2018-09-21.xbrl,jpcrp_cor:typesofsecuritiestoregisterforofferingordistributioncoverpage,株式,,,FilingDateInstant
jpcrp020200-srs-001_E05663-000_2018-06-30_02_2018-09-21.xbrl,jpcrp_cor:mattersspecifictostabilizingoperationcoverpagena,該当事項はありません。,,,FilingDateInstant
jpcrp020200-srs-001_E05663-000_2018-06-30_02_2018-09-21.xbrl,jpdei_cor:edinetcodedei,E05663,,,FilingDateInstant
jpcrp020200-srs-001_E05663-000_2018-06-30_02_2018-09-21.xbrl,jpdei_cor:securitycodedei,38360,,,FilingDateInstant
jpcrp020200-srs-001_E05663-000_2018-06-30_02_2018-09-21.xbrl,jpdei_cor:filernameinjapanesedei,株式会社アバント,,,FilingDateInstant
jpcrp020200-srs-001_E05663-000_2018-06-30_02_2018-09-21.xbrl,jpdei_cor:filernameinenglishdei,AVANT CORPORATION,,,FilingDateInstant
jpcrp020200-srs-001_E05663-000_2018-06-30_02_2018-09-21.xbrl,jpdei_cor:cabinetofficeordinancedei,企業内容等の開示に関する内閣府令,,,FilingDateInstant
jpcrp020200-srs-001_E05663-000_2018-06-30_02_2018-09-21.xbrl,jpdei_cor:documenttypedei,第二号の二様式,,,FilingDateInstant
jpcrp020200-srs-001_E05663-000_2018-06-30_02_2018-09-21.xbrl,jpdei_cor:amendmentflagdei,true,,,FilingDateInstant
jpcrp020200-srs-001_E05663-000_2018-06-30_02_2018-09-21.xbrl,jpdei_cor:identificationofdocumentsubjecttoamendmentdei,S100E4XC,,,FilingDateInstant
jpcrp020200-srs-001_E05663-000_2018-06-30_02_2018-09-21.xbrl,jpdei_cor:reportamendmentflagdei,true,,,FilingDateInstant
jpcrp020200-srs-001_E05663-000_2018-06-30_02_2018-09-21.xbrl,jpdei_cor:xbrlamendmentflagdei,false,,,FilingDateInstant
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpdei_cor:numberofsubmissiondei,1,,0,FilingDateInstant
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:netsalessummaryofbusinessresults,4101316000,,-3,Prior4YearDuration
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:netsalessummaryofbusinessresults,6732302000,,-3,Prior3YearDuration
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:netsalessummaryofbusinessresults,8300489000,,-3,Prior2YearDuration
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:netsalessummaryofbusinessresults,8928777000,,-3,Prior1YearDuration
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:netsalessummaryofbusinessresults,9612878000,,-3,CurrentYearDuration
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:ordinaryincomelosssummaryofbusinessresults,384494000,,-3,Prior4YearDuration
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:ordinaryincomelosssummaryofbusinessresults,629119000,,-3,Prior3YearDuration
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:ordinaryincomelosssummaryofbusinessresults,1079475000,,-3,Prior2YearDuration
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:ordinaryincomelosssummaryofbusinessresults,795528000,,-3,Prior1YearDuration
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:ordinaryincomelosssummaryofbusinessresults,1112546000,,-3,CurrentYearDuration
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:profitlossattributabletoownersofparentsummaryofbusinessresults,191044000,,-3,Prior4YearDuration
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:profitlossattributabletoownersofparentsummaryofbusinessresults,362792000,,-3,Prior3YearDuration
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:profitlossattributabletoownersofparentsummaryofbusinessresults,623343000,,-3,Prior2YearDuration
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:profitlossattributabletoownersofparentsummaryofbusinessresults,402033000,,-3,Prior1YearDuration
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:profitlossattributabletoownersofparentsummaryofbusinessresults,660729000,,-3,CurrentYearDuration
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:comprehensiveincomesummaryofbusinessresults,191177000,,-3,Prior4YearDuration
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:comprehensiveincomesummaryofbusinessresults,365886000,,-3,Prior3YearDuration
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:comprehensiveincomesummaryofbusinessresults,623733000,,-3,Prior2YearDuration
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:comprehensiveincomesummaryofbusinessresults,405524000,,-3,Prior1YearDuration
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:comprehensiveincomesummaryofbusinessresults,656127000,,-3,CurrentYearDuration
jpcrp030000-asr-001_E05663-000_2016-06-30_01_2016-09-27.xbrl,jpcrp_cor:netassetssummaryofbusinessresults,1532173000,,-3,Prior4YearInstant
