,version,提出日,提出回数,報告対象期間期末日,追番,第N期,名前空間接頭辞,tag,id,context,開始日,終了日,期末日,連結,値
0,2,2018-09-19,1,2018-06-30,0,0,jpdei_cor,NumberOfSubmissionDEI,,FilingDateInstant,,,2018-09-19,True,1
1,2,2018-09-19,1,2018-06-30,0,0,jpdei_cor,EDINETCodeDEI,,FilingDateInstant,,,2018-09-19,True,E05663
2,2,2018-09-19,1,2018-06-30,0,0,jpdei_cor,FundCodeDEI,,FilingDateInstant,,,2018-09-19,True,
3,2,2018-09-19,1,2018-06-30,0,0,jpdei_cor,SecurityCodeDEI,,FilingDateInstant,,,2018-09-19,True,38360
4,2,2018-09-19,1,2018-06-30,0,0,jpdei_cor,FilerNameInJapaneseDEI,,FilingDateInstant,,,2018-09-19,True,株式会社アバント
5,2,2018-09-19,1,2018-06-30,0,0,jpdei_cor,FilerNameInEnglishDEI,,FilingDateInstant,,,2018-09-19,True,AVANT CORPORATION
6,2,2018-09-19,1,2018-06-30,0,0,jpdei_cor,FundNameInJapaneseDEI,,FilingDateInstant,,,2018-09-19,True,
7,2,2018-09-19,1,2018-06-30,0,0,jpdei_cor,FundNameInEnglishDEI,,FilingDateInstant,,,2018-09-19,True,
8,2,2018-09-19,1,2018-06-30,0,0,jpdei_cor,CabinetOfficeOrdinanceDEI,,FilingDateInstant,,,2018-09-19,True,企業内容等の開示に関する内閣府令
9,2,2018-09-19,1,2018-06-30,0,0,jpdei_cor,DocumentTypeDEI,,FilingDateInstant,,,2018-09-19,True,第三号様式
10,2,2018-09-19,1,2018-06-30,0,0,jpdei_cor,AccountingStandardsDEI,,FilingDateInstant,,,2018-09-19,True,Japan GAAP
11,2,2018-09-19,1,2018-06-30,0,0,jpdei_cor,WhetherConsolidatedFinancialStatementsArePreparedDEI,,FilingDateInstant,,,2018-09-19,True,True
12,2,2018-09-19,1,2018-06-30,0,0,jpdei_cor,IndustryCodeWhenConsolidatedFinancialStatementsArePreparedInAccordanceWithIndustrySpecificRegulationsDEI,,FilingDateInstant,,,2018-09-19,True,cte
13,2,2018-09-19,1,2018-06-30,0,0,jpdei_cor,IndustryCodeWhenFinancialStatementsArePreparedInAccordanceWithIndustrySpecificRegulationsDEI,,FilingDateInstant,,,2018-09-19,True,cte
14,2,2018-09-19,1,2018-06-30,0,0,jpdei_cor,CurrentFiscalYearStartDateDEI,,FilingDateInstant,,,2018-09-19,True,2017-07-01 00:00:00
15,2,2018-09-19,1,2018-06-30,0,0,jpdei_cor,CurrentPeriodEndDateDEI,,FilingDateInstant,,,2018-09-19,True,2018-06-30 00:00:00
16,2,2018-09-19,1,2018-06-30,0,0,jpdei_cor,TypeOfCurrentPeriodDEI,,FilingDateInstant,,,2018-09-19,True,FY
17,2,2018-09-19,1,2018-06-30,0,0,jpdei_cor,CurrentFiscalYearEndDateDEI,,FilingDateInstant,,,2018-09-19,True,2018-06-30 00:00:00
18,2,2018-09-19,1,2018-06-30,0,0,jpdei_cor,PreviousFiscalYearStartDateDEI,,FilingDateInstant,,,2018-09-19,True,2016-07-01 00:00:00
19,2,2018-09-19,1,2018-06-30,0,0,jpdei_cor,ComparativePeriodEndDateDEI,,FilingDateInstant,,,2018-09-19,True,2017-06-30 00:00:00
20,2,2018-09-19,1,2018-06-30,0,0,jpdei_cor,PreviousFiscalYearEndDateDEI,,FilingDateInstant,,,2018-09-19,True,2017-06-30 00:00:00
21,2,2018-09-19,1,2018-06-30,0,0,jpdei_cor,NextFiscalYearStartDateDEI,,FilingDateInstant,,,2018-09-19,True,
22,2,2018-09-19,1,2018-06-30,0,0,jpdei_cor,EndDateOfQuarterlyOrSemiAnnualPeriodOfNextFiscalYearDEI,,FilingDateInstant,,,2018-09-19,True,
23,2,2018-09-19,1,2018-06-30,0,0,jpdei_cor,AmendmentFlagDEI,,FilingDateInstant,,,2018-09-19,True,False
24,2,2018-09-19,1,2018-06-30,0,0,jpdei_cor,IdentificationOfDocumentSubjectToAmendmentDEI,,FilingDateInstant,,,2018-09-19,True,
25,2,2018-09-19,1,2018-06-30,0,0,jpdei_cor,ReportAmendmentFlagDEI,,FilingDateInstant,,,2018-09-19,True,False
26,2,2018-09-19,1,2018-06-30,0,0,jpdei_cor,XBRLAmendmentFlagDEI,,FilingDateInstant,,,2018-09-19,True,False
27,2,2018-09-19,1,2018-06-30,0,0,jpcrp_cor,NetSalesSummaryOfBusinessResults,,Prior4YearDuration,2013-07-01,2014-06-30,,True,8300489000
28,2,2018-09-19,1,2018-06-30,0,0,jpcrp_cor,NetSalesSummaryOfBusinessResults,,Prior3YearDuration,2014-07-01,2015-06-30,,True,8928777000
29,2,2018-09-19,1,2018-06-30,0,0,jpcrp_cor,NetSalesSummaryOfBusinessResults,,Prior2YearDuration,2015-07-01,2016-06-30,,True,9612878000
30,2,2018-09-19,1,2018-06-30,0,0,jpcrp_cor,NetSalesSummaryOfBusinessResults,,Prior1YearDuration,2016-07-01,2017-06-30,,True,10532392000
31,2,2018-09-19,1,2018-06-30,0,0,jpcrp_cor,NetSalesSummaryOfBusinessResults,,CurrentYearDuration,2017-07-01,2018-06-30,,True,12110795000
32,2,2018-09-19,1,2018-06-30,0,0,jpcrp_cor,OrdinaryIncomeLossSummaryOfBusinessResults,,Prior4YearDuration,2013-07-01,2014-06-30,,True,1079475000
33,2,2018-09-19,1,2018-06-30,0,0,jpcrp_cor,OrdinaryIncomeLossSummaryOfBusinessResults,,Prior3YearDuration,2014-07-01,2015-06-30,,True,795528000
34,2,2018-09-19,1,2018-06-30,0,0,jpcrp_cor,OrdinaryIncomeLossSummaryOfBusinessResults,,Prior2YearDuration,2015-07-01,2016-06-30,,True,1112546000
35,2,2018-09-19,1,2018-06-30,0,0,jpcrp_cor,OrdinaryIncomeLossSummaryOfBusinessResults,,Prior1YearDuration,2016-07-01,2017-06-30,,True,1308887000
36,2,2018-09-19,1,2018-06-30,0,0,jpcrp_cor,OrdinaryIncomeLossSummaryOfBusinessResults,,CurrentYearDuration,2017-07-01,2018-06-30,,True,1632433000
37,2,2018-09-19,1,2018-06-30,0,0,jpcrp_cor,ProfitLossAttributableToOwnersOfParentSummaryOfBusinessResults,,Prior4YearDuration,2013-07-01,2014-06-30,,True,623343000
38,2,2018-09-19,1,2018-06-30,0,0,jpcrp_cor,ProfitLossAttributableToOwnersOfParentSummaryOfBusinessResults,,Prior3YearDuration,2014-07-01,2015-06-30,,True,402033000
39,2,2018-09-19,1,2018-06-30,0,0,jpcrp_cor,ProfitLossAttributableToOwnersOfParentSummaryOfBusinessResults,,Prior2YearDuration,2015-07-01,2016-06-30,,True,660729000
40,2,2018-09-19,1,2018-06-30,0,0,jpcrp_cor,ProfitLossAttributableToOwnersOfParentSummaryOfBusinessResults,,Prior1YearDuration,2016-07-01,2017-06-30,,True,663606000
41,2,2018-09-19,1,2018-06-30,0,0,jpcrp_cor,ProfitLossAttributableToOwnersOfParentSummaryOfBusinessResults,,CurrentYearDuration,2017-07-01,2018-06-30,,True,1062061000
42,2,2018-09-19,1,2018-06-30,0,0,jpcrp_cor,ComprehensiveIncomeSummaryOfBusinessResults,,Prior4YearDuration,2013-07-01,2014-06-30,,True,623733000
43,2,2018-09-19,1,2018-06-30,0,0,jpcrp_cor,ComprehensiveIncomeSummaryOfBusinessResults,,Prior3YearDuration,2014-07-01,2015-06-30,,True,405524000
44,2,2018-09-19,1,2018-06-30,0,0,jpcrp_cor,ComprehensiveIncomeSummaryOfBusinessResults,,Prior2YearDuration,2015-07-01,2016-06-30,,True,656127000
45,2,2018-09-19,1,2018-06-30,0,0,jpcrp_cor,ComprehensiveIncomeSummaryOfBusinessResults,,Prior1YearDuration,2016-07-01,2017-06-30,,True,665659000
46,2,2018-09-19,1,2018-06-30,0,0,jpcrp_cor,ComprehensiveIncomeSummaryOfBusinessResults,,CurrentYearDuration,2017-07-01,2018-06-30,,True,1069302000
47,2,2018-09-19,1,2018-06-30,0,0,jpcrp_cor,NetAssetsSummaryOfBusinessResults,,Prior4YearInstant,,,2014-06-30,True,2460737000
48,2,2018-09-19,1,2018-06-30,0,0,jpcrp_cor,NetAssetsSummaryOfBusinessResults,,Prior3YearInstant,,,2015-06-30,True,2739493000
49,2,2018-09-19,1,2018-06-30,0,0,jpcrp_cor,NetAssetsSummaryOfBusinessResults,,Prior2YearInstant,,,2016-06-30,True,3311089000
50,2,2018-09-19,1,2018-06-30,0,0,jpcrp_cor,NetAssetsSummaryOfBusinessResults,,Prior1YearInstant,,,2017-06-30,True,3873381000
51,2,2018-09-19,1,2018-06-30,0,0,jpcrp_cor,NetAssetsSummaryOfBusinessResults,,CurrentYearInstant,,,2018-06-30,True,4792462000
52,2,2018-09-19,1,2018-06-30,0,0,jpcrp_cor,TotalAssetsSummaryOfBusinessResults,,Prior4YearInstant,,,2014-06-30,True,5537498000
53,2,2018-09-19,1,2018-06-30,0,0,jpcrp_cor,TotalAssetsSummaryOfBusinessResults,,Prior3YearInstant,,,2015-06-30,True,5681530000
54,2,2018-09-19,1,2018-06-30,0,0,jpcrp_cor,TotalAssetsSummaryOfBusinessResults,,Prior2YearInstant,,,2016-06-30,True,6709167000
