,version,提出日,提出回数,報告対象期間期末日,追番,第N期,名前空間接頭辞,tag,id,context,開始日,終了日,期末日,連結,値
48,2,2017-11-13,1,2017-09-30,0,1,jpcrp_cor,DilutedEarningsPerShareSummaryOfBusinessResults,,Prior1YTDDuration,2016-07-01,2016-09-30,,True,
49,2,2017-11-13,1,2017-09-30,0,1,jpcrp_cor,DilutedEarningsPerShareSummaryOfBusinessResults,,CurrentYTDDuration,2017-07-01,2017-09-30,,True,
50,2,2017-11-13,1,2017-09-30,0,1,jpcrp_cor,DilutedEarningsPerShareSummaryOfBusinessResults,,Prior1YearDuration,2016-07-01,2017-06-30,,True,
51,2,2017-11-13,1,2017-09-30,0,1,jpcrp_cor,EquityToAssetRatioSummaryOfBusinessResults,,Prior1QuarterInstant,,,2016-09-30,True,0.547
52,2,2017-11-13,1,2017-09-30,0,1,jpcrp_cor,EquityToAssetRatioSummaryOfBusinessResults,,CurrentQuarterInstant,,,2017-09-30,True,0.565
53,2,2017-11-13,1,2017-09-30,0,1,jpcrp_cor,EquityToAssetRatioSummaryOfBusinessResults,,Prior1YearInstant,,,2017-06-30,True,0.529
54,2,2017-11-13,1,2017-09-30,0,1,jpcrp_cor,NetCashProvidedByUsedInOperatingActivitiesSummaryOfBusinessResults,,Prior1YTDDuration,2016-07-01,2016-09-30,,True,86657000
55,2,2017-11-13,1,2017-09-30,0,1,jpcrp_cor,NetCashProvidedByUsedInOperatingActivitiesSummaryOfBusinessResults,,CurrentYTDDuration,2017-07-01,2017-09-30,,True,-281719000
56,2,2017-11-13,1,2017-09-30,0,1,jpcrp_cor,NetCashProvidedByUsedInOperatingActivitiesSummaryOfBusinessResults,,Prior1YearDuration,2016-07-01,2017-06-30,,True,1070201000
57,2,2017-11-13,1,2017-09-30,0,1,jpcrp_cor,NetCashProvidedByUsedInInvestingActivitiesSummaryOfBusinessResults,,Prior1YTDDuration,2016-07-01,2016-09-30,,True,-91931000
58,2,2017-11-13,1,2017-09-30,0,1,jpcrp_cor,NetCashProvidedByUsedInInvestingActivitiesSummaryOfBusinessResults,,CurrentYTDDuration,2017-07-01,2017-09-30,,True,-56785000
59,2,2017-11-13,1,2017-09-30,0,1,jpcrp_cor,NetCashProvidedByUsedInInvestingActivitiesSummaryOfBusinessResults,,Prior1YearDuration,2016-07-01,2017-06-30,,True,-297429000
