,version,提出日,提出回数,報告対象期間期末日,追番,第N期,名前空間接頭辞,tag,id,context,開始日,終了日,期末日,連結,値
0,2,2018-05-14,1,2018-03-31,0,3,jpdei_cor,NumberOfSubmissionDEI,,FilingDateInstant,,,2018-05-14,True,1
1,2,2018-05-14,1,2018-03-31,0,3,jpdei_cor,EDINETCodeDEI,,FilingDateInstant,,,2018-05-14,True,E05663
2,2,2018-05-14,1,2018-03-31,0,3,jpdei_cor,FundCodeDEI,,FilingDateInstant,,,2018-05-14,True,
3,2,2018-05-14,1,2018-03-31,0,3,jpdei_cor,SecurityCodeDEI,,FilingDateInstant,,,2018-05-14,True,38360
4,2,2018-05-14,1,2018-03-31,0,3,jpdei_cor,FilerNameInJapaneseDEI,,FilingDateInstant,,,2018-05-14,True,株式会社アバント
5,2,2018-05-14,1,2018-03-31,0,3,jpdei_cor,FilerNameInEnglishDEI,,FilingDateInstant,,,2018-05-14,True,AVANT CORPORATION
6,2,2018-05-14,1,2018-03-31,0,3,jpdei_cor,FundNameInJapaneseDEI,,FilingDateInstant,,,2018-05-14,True,
7,2,2018-05-14,1,2018-03-31,0,3,jpdei_cor,FundNameInEnglishDEI,,FilingDateInstant,,,2018-05-14,True,
8,2,2018-05-14,1,2018-03-31,0,3,jpdei_cor,CabinetOfficeOrdinanceDEI,,FilingDateInstant,,,2018-05-14,True,企業内容等の開示に関する内閣府令
9,2,2018-05-14,1,2018-03-31,0,3,jpdei_cor,DocumentTypeDEI,,FilingDateInstant,,,2018-05-14,True,第四号の三様式
10,2,2018-05-14,1,2018-03-31,0,3,jpdei_cor,AccountingStandardsDEI,,FilingDateInstant,,,2018-05-14,True,Japan GAAP
11,2,2018-05-14,1,2018-03-31,0,3,jpdei_cor,WhetherConsolidatedFinancialStatementsArePreparedDEI,,FilingDateInstant,,,2018-05-14,True,True
12,2,2018-05-14,1,2018-03-31,0,3,jpdei_cor,IndustryCodeWhenConsolidatedFinancialStatementsArePreparedInAccordanceWithIndustrySpecificRegulationsDEI,,FilingDateInstant,,,2018-05-14,True,cte
13,2,2018-05-14,1,2018-03-31,0,3,jpdei_cor,IndustryCodeWhenFinancialStatementsArePreparedInAccordanceWithIndustrySpecificRegulationsDEI,,FilingDateInstant,,,2018-05-14,True,
14,2,2018-05-14,1,2018-03-31,0,3,jpdei_cor,CurrentFiscalYearStartDateDEI,,FilingDateInstant,,,2018-05-14,True,2017-07-01 00:00:00
15,2,2018-05-14,1,2018-03-31,0,3,jpdei_cor,CurrentPeriodEndDateDEI,,FilingDateInstant,,,2018-05-14,True,2018-03-31 00:00:00
16,2,2018-05-14,1,2018-03-31,0,3,jpdei_cor,TypeOfCurrentPeriodDEI,,FilingDateInstant,,,2018-05-14,True,Q3
17,2,2018-05-14,1,2018-03-31,0,3,jpdei_cor,CurrentFiscalYearEndDateDEI,,FilingDateInstant,,,2018-05-14,True,2018-06-30 00:00:00
18,2,2018-05-14,1,2018-03-31,0,3,jpdei_cor,PreviousFiscalYearStartDateDEI,,FilingDateInstant,,,2018-05-14,True,2016-07-01 00:00:00
19,2,2018-05-14,1,2018-03-31,0,3,jpdei_cor,ComparativePeriodEndDateDEI,,FilingDateInstant,,,2018-05-14,True,2017-03-31 00:00:00
20,2,2018-05-14,1,2018-03-31,0,3,jpdei_cor,PreviousFiscalYearEndDateDEI,,FilingDateInstant,,,2018-05-14,True,2017-06-30 00:00:00
21,2,2018-05-14,1,2018-03-31,0,3,jpdei_cor,NextFiscalYearStartDateDEI,,FilingDateInstant,,,2018-05-14,True,
22,2,2018-05-14,1,2018-03-31,0,3,jpdei_cor,EndDateOfQuarterlyOrSemiAnnualPeriodOfNextFiscalYearDEI,,FilingDateInstant,,,2018-05-14,True,
23,2,2018-05-14,1,2018-03-31,0,3,jpdei_cor,AmendmentFlagDEI,,FilingDateInstant,,,2018-05-14,True,False
24,2,2018-05-14,1,2018-03-31,0,3,jpdei_cor,IdentificationOfDocumentSubjectToAmendmentDEI,,FilingDateInstant,,,2018-05-14,True,
25,2,2018-05-14,1,2018-03-31,0,3,jpdei_cor,ReportAmendmentFlagDEI,,FilingDateInstant,,,2018-05-14,True,False
26,2,2018-05-14,1,2018-03-31,0,3,jpdei_cor,XBRLAmendmentFlagDEI,,FilingDateInstant,,,2018-05-14,True,False
27,2,2018-05-14,1,2018-03-31,0,3,jpcrp_cor,NetSalesSummaryOfBusinessResults,,Prior1YTDDuration,2016-07-01,2017-03-31,,True,7714975000
28,2,2018-05-14,1,2018-03-31,0,3,jpcrp_cor,NetSalesSummaryOfBusinessResults,,CurrentYTDDuration,2017-07-01,2018-03-31,,True,8784085000
29,2,2018-05-14,1,2018-03-31,0,3,jpcrp_cor,NetSalesSummaryOfBusinessResults,,Prior1YearDuration,2016-07-01,2017-06-30,,True,10532392000
30,2,2018-05-14,1,2018-03-31,0,3,jpcrp_cor,OrdinaryIncomeLossSummaryOfBusinessResults,,Prior1YTDDuration,2016-07-01,2017-03-31,,True,1011978000
31,2,2018-05-14,1,2018-03-31,0,3,jpcrp_cor,OrdinaryIncomeLossSummaryOfBusinessResults,,CurrentYTDDuration,2017-07-01,2018-03-31,,True,1136501000
32,2,2018-05-14,1,2018-03-31,0,3,jpcrp_cor,OrdinaryIncomeLossSummaryOfBusinessResults,,Prior1YearDuration,2016-07-01,2017-06-30,,True,1308887000
33,2,2018-05-14,1,2018-03-31,0,3,jpcrp_cor,ProfitLossAttributableToOwnersOfParentSummaryOfBusinessResults,,Prior1YTDDuration,2016-07-01,2017-03-31,,True,433183000
34,2,2018-05-14,1,2018-03-31,0,3,jpcrp_cor,ProfitLossAttributableToOwnersOfParentSummaryOfBusinessResults,,CurrentYTDDuration,2017-07-01,2018-03-31,,True,743085000
35,2,2018-05-14,1,2018-03-31,0,3,jpcrp_cor,ProfitLossAttributableToOwnersOfParentSummaryOfBusinessResults,,Prior1YearDuration,2016-07-01,2017-06-30,,True,663606000
36,2,2018-05-14,1,2018-03-31,0,3,jpcrp_cor,ComprehensiveIncomeSummaryOfBusinessResults,,Prior1YTDDuration,2016-07-01,2017-03-31,,True,434197000
37,2,2018-05-14,1,2018-03-31,0,3,jpcrp_cor,ComprehensiveIncomeSummaryOfBusinessResults,,CurrentYTDDuration,2017-07-01,2018-03-31,,True,738851000
38,2,2018-05-14,1,2018-03-31,0,3,jpcrp_cor,ComprehensiveIncomeSummaryOfBusinessResults,,Prior1YearDuration,2016-07-01,2017-06-30,,True,665659000
39,2,2018-05-14,1,2018-03-31,0,3,jpcrp_cor,NetAssetsSummaryOfBusinessResults,,Prior1QuarterInstant,,,2017-03-31,True,3641919000
40,2,2018-05-14,1,2018-03-31,0,3,jpcrp_cor,NetAssetsSummaryOfBusinessResults,,CurrentQuarterInstant,,,2018-03-31,True,4462010000
41,2,2018-05-14,1,2018-03-31,0,3,jpcrp_cor,NetAssetsSummaryOfBusinessResults,,Prior1YearInstant,,,2017-06-30,True,3873381000
42,2,2018-05-14,1,2018-03-31,0,3,jpcrp_cor,TotalAssetsSummaryOfBusinessResults,,Prior1QuarterInstant,,,2017-03-31,True,6518313000
43,2,2018-05-14,1,2018-03-31,0,3,jpcrp_cor,TotalAssetsSummaryOfBusinessResults,,CurrentQuarterInstant,,,2018-03-31,True,7605474000
44,2,2018-05-14,1,2018-03-31,0,3,jpcrp_cor,TotalAssetsSummaryOfBusinessResults,,Prior1YearInstant,,,2017-06-30,True,7325518000
45,2,2018-05-14,1,2018-03-31,0,3,jpcrp_cor,BasicEarningsLossPerShareSummaryOfBusinessResults,,Prior1YTDDuration,2016-07-01,2017-03-31,,True,23.07
46,2,2018-05-14,1,2018-03-31,0,3,jpcrp_cor,BasicEarningsLossPerShareSummaryOfBusinessResults,,CurrentYTDDuration,2017-07-01,2018-03-31,,True,39.58
47,2,2018-05-14,1,2018-03-31,0,3,jpcrp_cor,BasicEarningsLossPerShareSummaryOfBusinessResults,,Prior1YearDuration,2016-07-01,2017-06-30,,True,35.35
48,2,2018-05-14,1,2018-03-31,0,3,jpcrp_cor,DilutedEarningsPerShareSummaryOfBusinessResults,,Prior1YTDDuration,2016-07-01,2017-03-31,,True,
49,2,2018-05-14,1,2018-03-31,0,3,jpcrp_cor,DilutedEarningsPerShareSummaryOfBusinessResults,,CurrentYTDDuration,2017-07-01,2018-03-31,,True,
50,2,2018-05-14,1,2018-03-31,0,3,jpcrp_cor,DilutedEarningsPerShareSummaryOfBusinessResults,,Prior1YearDuration,2016-07-01,2017-06-30,,True,
51,2,2018-05-14,1,2018-03-31,0,3,jpcrp_cor,EquityToAssetRatioSummaryOfBusinessResults,,Prior1QuarterInstant,,,2017-03-31,True,0.559
52,2,2018-05-14,1,2018-03-31,0,3,jpcrp_cor,EquityToAssetRatioSummaryOfBusinessResults,,CurrentQuarterInstant,,,2018-03-31,True,0.587
53,2,2018-05-14,1,2018-03-31,0,3,jpcrp_cor,EquityToAssetRatioSummaryOfBusinessResults,,Prior1YearInstant,,,2017-06-30,True,0.529
54,2,2018-05-14,1,2018-03-31,0,3,jpcrp_cor,NetCashProvidedByUsedInOperatingActivitiesSummaryOfBusinessResults,,Prior1YTDDuration,2016-07-01,2017-03-31,,True,-64531000
55,2,2018-05-14,1,2018-03-31,0,3,jpcrp_cor,NetCashProvidedByUsedInOperatingActivitiesSummaryOfBusinessResults,,CurrentYTDDuration,2017-07-01,2018-03-31,,True,114259000
56,2,2018-05-14,1,2018-03-31,0,3,jpcrp_cor,NetCashProvidedByUsedInOperatingActivitiesSummaryOfBusinessResults,,Prior1YearDuration,2016-07-01,2017-06-30,,True,1070201000
57,2,2018-05-14,1,2018-03-31,0,3,jpcrp_cor,NetCashProvidedByUsedInInvestingActivitiesSummaryOfBusinessResults,,Prior1YTDDuration,2016-07-01,2017-03-31,,True,-273849000
58,2,2018-05-14,1,2018-03-31,0,3,jpcrp_cor,NetCashProvidedByUsedInInvestingActivitiesSummaryOfBusinessResults,,CurrentYTDDuration,2017-07-01,2018-03-31,,True,-327760000
59,2,2018-05-14,1,2018-03-31,0,3,jpcrp_cor,NetCashProvidedByUsedInInvestingActivitiesSummaryOfBusinessResults,,Prior1YearDuration,2016-07-01,2017-06-30,,True,-297429000
60,2,2018-05-14,1,2018-03-31,0,3,jpcrp_cor,NetCashProvidedByUsedInFinancingActivitiesSummaryOfBusinessResults,,Prior1YTDDuration,2016-07-01,2017-03-31,,True,-200667000
61,2,2018-05-14,1,2018-03-31,0,3,jpcrp_cor,NetCashProvidedByUsedInFinancingActivitiesSummaryOfBusinessResults,,CurrentYTDDuration,2017-07-01,2018-03-31,,True,-183483000
62,2,2018-05-14,1,2018-03-31,0,3,jpcrp_cor,NetCashProvidedByUsedInFinancingActivitiesSummaryOfBusinessResults,,Prior1YearDuration,2016-07-01,2017-06-30,,True,-232227000
63,2,2018-05-14,1,2018-03-31,0,3,jpcrp_cor,CashAndCashEquivalentsSummaryOfBusinessResults,,Prior1QuarterInstant,,,2017-03-31,True,2867758000
64,2,2018-05-14,1,2018-03-31,0,3,jpcrp_cor,CashAndCashEquivalentsSummaryOfBusinessResults,,CurrentQuarterInstant,,,2018-03-31,True,3544591000
65,2,2018-05-14,1,2018-03-31,0,3,jpcrp_cor,CashAndCashEquivalentsSummaryOfBusinessResults,,Prior1YearInstant,,,2017-06-30,True,3947673000
66,2,2018-05-14,1,2018-03-31,0,3,jpcrp_cor,BasicEarningsLossPerShareSummaryOfBusinessResults,,Prior1QuarterDuration,2017-01-01,2017-03-31,,True,13.32
67,2,2018-05-14,1,2018-03-31,0,3,jpcrp_cor,BasicEarningsLossPerShareSummaryOfBusinessResults,,CurrentQuarterDuration,2018-01-01,2018-03-31,,True,16.57
