"indicatorCd","unitCd","statCd","regionCd","timeCd","cycle","regionRank","isSeasonal","isProvisional","value","cellAnnotations"
"0201020000000010000","090","20020101","01000","1975CY00","3","3","1","0","5330284",
"0201020000000010000","090","20020101","02000","1975CY00","3","3","1","0","1466742",
"0201020000000010000","090","20020101","03000","1975CY00","3","3","1","0","1383931",
"0201020000000010000","090","20020101","04000","1975CY00","3","3","1","0","1950790",
"0201020000000010000","090","20020101","05000","1975CY00","3","3","1","0","1231389",
"0201020000000010000","090","20020101","06000","1975CY00","3","3","1","0","1219429",
"0201020000000010000","090","20020101","07000","1975CY00","3","3","1","0","1968270",
"0201020000000010000","090","20020101","08000","1975CY00","3","3","1","0","2338151",
"0201020000000010000","090","20020101","09000","1975CY00","3","3","1","0","1695848",
"0201020000000010000","090","20020101","10000","1975CY00","3","3","1","0","1753436",
"0201020000000010000","090","20020101","11000","1975CY00","3","3","1","0","4809517",
"0201020000000010000","090","20020101","12000","1975CY00","3","3","1","0","4136216",
"0201020000000010000","090","20020101","13000","1975CY00","3","3","1","0","11568852",
"0201020000000010000","090","20020101","14000","1975CY00","3","3","1","0","6359334",
"0201020000000010000","090","20020101","15000","1975CY00","3","3","1","0","2388992",
"0201020000000010000","090","20020101","16000","1975CY00","3","3","1","0","1068930",
"0201020000000010000","090","20020101","17000","1975CY00","3","3","1","0","1066669",
"0201020000000010000","090","20020101","18000","1975CY00","3","3","1","0","768867",
"0201020000000010000","090","20020101","19000","1975CY00","3","3","1","0","781360",
"0201020000000010000","090","20020101","20000","1975CY00","3","3","1","0","2012816",
"0201020000000010000","090","20020101","21000","1975CY00","3","3","1","0","1858066",
"0201020000000010000","090","20020101","22000","1975CY00","3","3","1","0","3300856",
"0201020000000010000","090","20020101","23000","1975CY00","3","3","1","0","5873395",
"0201020000000010000","090","20020101","24000","1975CY00","3","3","1","0","1618449",
"0201020000000010000","090","20020101","25000","1975CY00","3","3","1","0","978639",
"0201020000000010000","090","20020101","26000","1975CY00","3","3","1","0","2381360",
"0201020000000010000","090","20020101","27000","1975CY00","3","3","1","0","8108360",
"0201020000000010000","090","20020101","28000","1975CY00","3","3","1","0","4918041",
"0201020000000010000","090","20020101","29000","1975CY00","3","3","1","0","1071894",
"0201020000000010000","090","20020101","30000","1975CY00","3","3","1","0","1067419",
"0201020000000010000","090","20020101","31000","1975CY00","3","3","1","0","579779",
"0201020000000010000","090","20020101","32000","1975CY00","3","3","1","0","767357",
"0201020000000010000","090","20020101","33000","1975CY00","3","3","1","0","1806484",
"0201020000000010000","090","20020101","34000","1975CY00","3","3","1","0","2630578",
"0201020000000010000","090","20020101","35000","1975CY00","3","3","1","0","1541072",
"0201020000000010000","090","20020101","36000","1975CY00","3","3","1","0","804784",
"0201020000000010000","090","20020101","37000","1975CY00","3","3","1","0","960233",
"0201020000000010000","090","20020101","38000","1975CY00","3","3","1","0","1463158",
"0201020000000010000","090","20020101","39000","1975CY00","3","3","1","0","807035",
"0201020000000010000","090","20020101","40000","1975CY00","3","3","1","0","4266394",
"0201020000000010000","090","20020101","41000","1975CY00","3","3","1","0","836326",
"0201020000000010000","090","20020101","42000","1975CY00","3","3","1","0","1568429",
"0201020000000010000","090","20020101","43000","1975CY00","3","3","1","0","1713300",
"0201020000000010000","090","20020101","44000","1975CY00","3","3","1","0","1187299",
