,0,1,2,3,4,5,6,7,8,9,10
85,0201010010000010010,090,20020101,08000,1976CY00,3,3,1,0,585000,
86,0201010010000010010,090,20020101,09000,1976CY00,3,3,1,0,416000,
87,0201010010000010010,090,20020101,10000,1976CY00,3,3,1,0,431000,
88,0201010010000010010,090,20020101,11000,1976CY00,3,3,1,0,1387000,
89,0201010010000010010,090,20020101,12000,1976CY00,3,3,1,0,1133000,
90,0201010010000010010,090,20020101,13000,1976CY00,3,3,1,0,2605000,
91,0201010010000010010,090,20020101,14000,1976CY00,3,3,1,0,1675000,
92,0201010010000010010,090,20020101,15000,1976CY00,3,3,1,0,558000,
93,0201010010000010010,090,20020101,16000,1976CY00,3,3,1,0,249000,
94,0201010010000010010,090,20020101,17000,1976CY00,3,3,1,0,262000,
95,0201010010000010010,090,20020101,18000,1976CY00,3,3,1,0,183000,
96,0201010010000010010,090,20020101,19000,1976CY00,3,3,1,0,187000,
97,0201010010000010010,090,20020101,20000,1976CY00,3,3,1,0,468000,
98,0201010010000010010,090,20020101,21000,1976CY00,3,3,1,0,467000,
99,0201010010000010010,090,20020101,22000,1976CY00,3,3,1,0,828000,
100,0201010010000010010,090,20020101,23000,1976CY00,3,3,1,0,1570000,
101,0201010010000010010,090,20020101,24000,1976CY00,3,3,1,0,387000,
102,0201010010000010010,090,20020101,25000,1976CY00,3,3,1,0,245000,
103,0201010010000010010,090,20020101,26000,1976CY00,3,3,1,0,575000,
104,0201010010000010010,090,20020101,27000,1976CY00,3,3,1,0,2156000,
105,0201010010000010010,090,20020101,28000,1976CY00,3,3,1,0,1239000,
106,0201010010000010010,090,20020101,29000,1976CY00,3,3,1,0,269000,
107,0201010010000010010,090,20020101,30000,1976CY00,3,3,1,0,250000,
108,0201010010000010010,090,20020101,31000,1976CY00,3,3,1,0,129000,
109,0201010010000010010,090,20020101,32000,1976CY00,3,3,1,0,168000,
110,0201010010000010010,090,20020101,33000,1976CY00,3,3,1,0,423000,
111,0201010010000010010,090,20020101,34000,1976CY00,3,3,1,0,642000,
112,0201010010000010010,090,20020101,35000,1976CY00,3,3,1,0,358000,
113,0201010010000010010,090,20020101,36000,1976CY00,3,3,1,0,178000,
114,0201010010000010010,090,20020101,37000,1976CY00,3,3,1,0,218000,
115,0201010010000010010,090,20020101,38000,1976CY00,3,3,1,0,341000,
116,0201010010000010010,090,20020101,39000,1976CY00,3,3,1,0,172000,
117,0201010010000010010,090,20020101,40000,1976CY00,3,3,1,0,1018000,
118,0201010010000010010,090,20020101,41000,1976CY00,3,3,1,0,199000,
119,0201010010000010010,090,20020101,42000,1976CY00,3,3,1,0,400000,
120,0201010010000010010,090,20020101,43000,1976CY00,3,3,1,0,392000,
121,0201010010000010010,090,20020101,44000,1976CY00,3,3,1,0,273000,
122,0201010010000010010,090,20020101,45000,1976CY00,3,3,1,0,263000,
123,0201010010000010010,090,20020101,46000,1976CY00,3,3,1,0,396000,
124,0201010010000010010,090,20020101,47000,1976CY00,3,3,1,0,322000,
125,0201010010000010010,090,20020101,01000,1977CY00,3,3,1,0,1302000,
126,0201010010000010010,090,20020101,02000,1977CY00,3,3,1,0,369000,
127,0201010010000010010,090,20020101,03000,1977CY00,3,3,1,0,325000,
128,0201010010000010010,090,20020101,04000,1977CY00,3,3,1,0,467000,
129,0201010010000010010,090,20020101,05000,1977CY00,3,3,1,0,263000,
130,0201010010000010010,090,20020101,06000,1977CY00,3,3,1,0,264000,
131,0201010010000010010,090,20020101,07000,1977CY00,3,3,1,0,459000,
132,0201010010000010010,090,20020101,08000,1977CY00,3,3,1,0,591000,
133,0201010010000010010,090,20020101,09000,1977CY00,3,3,1,0,419000,
134,0201010010000010010,090,20020101,10000,1977CY00,3,3,1,0,433000,
