,0,1,2,3,4,5,6,7,8
0,GET_META_REGION_INF,,,,,,,,
1,RESULT,,,,,,,,
2,STATUS,0,,,,,,,
3,ERROR_MSG,正常に終了しました。,,,,,,,
4,DATE,Thu Jan 10 10:13:55 JST 2019,,,,,,,
5,PARAMETER,,,,,,,,
6,LANG,JP,,,,,,,
7,REGION_CODE,,,,,,,,
8,PARENT_REGION_CODE,,,,,,,,
9,TIME,,,,,,,,
10,TIME_FROM,,,,,,,,
11,TIME_TO,,,,,,,,
12,REGION_LEVEL,,,,,,,,
13,SEARCH_REGION_WORD,,,,,,,,
14,MODIFIED_FROM,00010101,,,,,,,
15,MODIFIED_TO,,,,,,,,
16,METADATA_INF,,,,,,,,
17,upAreaCd,upAreaNm,upHiragana,areaCd,areaNm,areaLevel,hiragana,fromDate,toDate
86,01000,北海道,ほっかいどう,01330,(旧)渡島支庁,5,おしましちょう,197004,201004
87,01000,北海道,ほっかいどう,01330,渡島総合振興局,5,おしまそうごうしんこうきょく,201004,999912
88,01330,(旧)渡島支庁,おしましちょう,01331,松前町,12,まつまえちょう,197004,999912
89,01330,渡島総合振興局,おしまそうごうしんこうきょく,01331,松前町,12,まつまえちょう,197004,999912
90,01330,(旧)渡島支庁,おしましちょう,01332,福島町,12,ふくしまちょう,197004,999912
91,01330,渡島総合振興局,おしまそうごうしんこうきょく,01332,福島町,12,ふくしまちょう,197004,999912
92,01330,(旧)渡島支庁,おしましちょう,01333,知内町,12,しりうちちょう,197004,999912
93,01330,渡島総合振興局,おしまそうごうしんこうきょく,01333,知内町,12,しりうちちょう,197004,999912
94,01330,(旧)渡島支庁,おしましちょう,01334,木古内町,12,きこないちょう,197004,999912
95,01330,渡島総合振興局,おしまそうごうしんこうきょく,01334,木古内町,12,きこないちょう,197004,999912
96,01330,(旧)渡島支庁,おしましちょう,01335,(旧)上磯町,12,かみいそちょう,197004,200602
97,01330,渡島総合振興局,おしまそうごうしんこうきょく,01335,(旧)上磯町,12,かみいそちょう,197004,200602
98,01330,(旧)渡島支庁,おしましちょう,01336,(旧)大野町,12,おおのちょう,197004,200602
99,01330,渡島総合振興局,おしまそうごうしんこうきょく,01336,(旧)大野町,12,おおのちょう,197004,200602
100,01330,(旧)渡島支庁,おしましちょう,01337,七飯町,12,ななえちょう,197004,999912
101,01330,渡島総合振興局,おしまそうごうしんこうきょく,01337,七飯町,12,ななえちょう,197004,999912
102,01330,(旧)渡島支庁,おしましちょう,01338,(旧)亀田町,12,かめだちょう,197004,197111
103,01330,渡島総合振興局,おしまそうごうしんこうきょく,01338,(旧)亀田町,12,かめだちょう,197004,197111
104,01330,(旧)渡島支庁,おしましちょう,01339,(旧)戸井町,12,といちょう,197004,200412
105,01330,渡島総合振興局,おしまそうごうしんこうきょく,01339,(旧)戸井町,12,といちょう,197004,200412
106,01330,(旧)渡島支庁,おしましちょう,01340,(旧)尻岸内町,12,しりきしないちょう,197004,198504
107,01330,渡島総合振興局,おしまそうごうしんこうきょく,01340,(旧)尻岸内町,12,しりきしないちょう,197004,198504
108,01330,(旧)渡島支庁,おしましちょう,01340,(旧)恵山町,12,えさんちょう,198504,200412
109,01330,渡島総合振興局,おしまそうごうしんこうきょく,01340,(旧)恵山町,12,えさんちょう,198504,200412
110,01330,(旧)渡島支庁,おしましちょう,01341,(旧)椴法華村,13,とどほっけむら,197004,200412
111,01330,渡島総合振興局,おしまそうごうしんこうきょく,01341,(旧)椴法華村,13,とどほっけむら,197004,200412
112,01330,(旧)渡島支庁,おしましちょう,01342,(旧)南茅部町,12,みなみかやべちょう,197004,200412
113,01330,渡島総合振興局,おしまそうごうしんこうきょく,01342,(旧)南茅部町,12,みなみかやべちょう,197004,200412
114,01330,(旧)渡島支庁,おしましちょう,01343,(旧)鹿部村,13,しかべむら,197004,198312
115,01330,渡島総合振興局,おしまそうごうしんこうきょく,01343,(旧)鹿部村,13,しかべむら,197004,198312
116,01330,(旧)渡島支庁,おしましちょう,01343,鹿部町,12,しかべちょう,198312,999912
117,01330,渡島総合振興局,おしまそうごうしんこうきょく,01343,鹿部町,12,しかべちょう,198312,999912
118,01330,(旧)渡島支庁,おしましちょう,01344,(旧)砂原村,13,さわらむら,197004,197009
119,01330,渡島総合振興局,おしまそうごうしんこうきょく,01344,(旧)砂原村,13,さわらむら,197004,197009
120,01330,(旧)渡島支庁,おしましちょう,01344,(旧)砂原町,12,さわらちょう,197009,200504
121,01330,渡島総合振興局,おしまそうごうしんこうきょく,01344,(旧)砂原町,12,さわらちょう,197009,200504
122,01330,(旧)渡島支庁,おしましちょう,01345,森町,12,もりまち,197004,999912
123,01330,渡島総合振興局,おしまそうごうしんこうきょく,01345,森町,12,もりまち,197004,999912
124,01330,(旧)渡島支庁,おしましちょう,01346,八雲町,12,やくもちょう,197004,999912
125,01330,渡島総合振興局,おしまそうごうしんこうきょく,01346,八雲町,12,やくもちょう,197004,999912
126,01330,(旧)渡島支庁,おしましちょう,01347,長万部町,12,おしゃまんべちょう,197004,999912
127,01330,渡島総合振興局,おしまそうごうしんこうきょく,01347,長万部町,12,おしゃまんべちょう,197004,999912
128,01000,北海道,ほっかいどう,01360,(旧)檜山支庁,5,ひやましちょう,197004,201004
129,01000,北海道,ほっかいどう,01360,檜山振興局,5,ひやましんこうきょく,201004,999912
130,01360,(旧)檜山支庁,ひやましちょう,01361,江差町,12,えさしちょう,197004,999912
131,01360,檜山振興局,ひやましんこうきょく,01361,江差町,12,えさしちょう,197004,999912
132,01360,(旧)檜山支庁,ひやましちょう,01362,上ノ国町,12,かみのくにちょう,197004,999912
133,01360,檜山振興局,ひやましんこうきょく,01362,上ノ国町,12,かみのくにちょう,197004,999912
134,01360,(旧)檜山支庁,ひやましちょう,01363,厚沢部町,12,あっさぶちょう,197004,999912
135,01360,檜山振興局,ひやましんこうきょく,01363,厚沢部町,12,あっさぶちょう,197004,999912
136,01360,(旧)檜山支庁,ひやましちょう,01364,乙部町,12,おとべちょう,197004,999912
137,01360,檜山振興局,ひやましんこうきょく,01364,乙部町,12,おとべちょう,197004,999912
138,01360,(旧)檜山支庁,ひやましちょう,01365,(旧)熊石町,12,くまいしちょう,197004,200510
139,01360,檜山振興局,ひやましんこうきょく,01365,(旧)熊石町,12,くまいしちょう,197004,200510
140,01360,(旧)檜山支庁,ひやましちょう,01366,(旧)大成町,12,たいせいちょう,197004,200509
141,01360,檜山振興局,ひやましんこうきょく,01366,(旧)大成町,12,たいせいちょう,197004,200509
142,01360,(旧)檜山支庁,ひやましちょう,01367,奥尻町,12,おくしりちょう,197004,999912
143,01360,檜山振興局,ひやましんこうきょく,01367,奥尻町,12,おくしりちょう,197004,999912
144,01360,(旧)檜山支庁,ひやましちょう,01368,(旧)瀬棚町,12,せたなちょう,197004,200509
145,01360,檜山振興局,ひやましんこうきょく,01368,(旧)瀬棚町,12,せたなちょう,197004,200509
146,01360,(旧)檜山支庁,ひやましちょう,01369,(旧)北檜山町,12,きたひやまちょう,197004,200509
147,01360,檜山振興局,ひやましんこうきょく,01369,(旧)北檜山町,12,きたひやまちょう,197004,200509
148,01360,(旧)檜山支庁,ひやましちょう,01370,今金町,12,いまかねちょう,197004,999912
149,01360,檜山振興局,ひやましんこうきょく,01370,今金町,12,いまかねちょう,197004,999912
150,01360,(旧)檜山支庁,ひやましちょう,01371,せたな町,12,せたなちょう,200509,999912
151,01360,檜山振興局,ひやましんこうきょく,01371,せたな町,12,せたなちょう,200509,999912
152,01000,北海道,ほっかいどう,01390,(旧)後志支庁,5,しりべししちょう,197004,201004
153,01000,北海道,ほっかいどう,01390,後志総合振興局,5,しりべそうごうしんこうきょく,201004,999912
154,01390,(旧)後志支庁,しりべししちょう,01391,島牧村,13,しままきむら,197004,999912
155,01390,後志総合振興局,しりべそうごうしんこうきょく,01391,島牧村,13,しままきむら,197004,999912
156,01390,(旧)後志支庁,しりべししちょう,01392,寿都町,12,すっつちょう,197004,999912
157,01390,後志総合振興局,しりべそうごうしんこうきょく,01392,寿都町,12,すっつちょう,197004,999912
158,01390,(旧)後志支庁,しりべししちょう,01393,黒松内町,12,くろまつないちょう,197004,999912
159,01390,後志総合振興局,しりべそうごうしんこうきょく,01393,黒松内町,12,くろまつないちょう,197004,999912
160,01390,(旧)後志支庁,しりべししちょう,01394,蘭越町,12,らんこしちょう,197004,999912
161,01390,後志総合振興局,しりべそうごうしんこうきょく,01394,蘭越町,12,らんこしちょう,197004,999912
162,01390,(旧)後志支庁,しりべししちょう,01395,ニセコ町,12,にせこちょう,197004,999912
163,01390,後志総合振興局,しりべそうごうしんこうきょく,01395,ニセコ町,12,にせこちょう,197004,999912
164,01390,(旧)後志支庁,しりべししちょう,01396,真狩村,13,まっかりむら,197004,999912
165,01390,後志総合振興局,しりべそうごうしんこうきょく,01396,真狩村,13,まっかりむら,197004,999912
166,01390,(旧)後志支庁,しりべししちょう,01397,留寿都村,13,るすつむら,197004,999912
167,01390,後志総合振興局,しりべそうごうしんこうきょく,01397,留寿都村,13,るすつむら,197004,999912
168,01390,(旧)後志支庁,しりべししちょう,01398,喜茂別町,12,きもべつちょう,197004,999912
169,01390,後志総合振興局,しりべそうごうしんこうきょく,01398,喜茂別町,12,きもべつちょう,197004,999912
170,01390,(旧)後志支庁,しりべししちょう,01399,京極町,12,きょうごくちょう,197004,999912
171,01390,後志総合振興局,しりべそうごうしんこうきょく,01399,京極町,12,きょうごくちょう,197004,999912
172,01390,(旧)後志支庁,しりべししちょう,01400,倶知安町,12,くっちゃんちょう,197004,999912
173,01390,後志総合振興局,しりべそうごうしんこうきょく,01400,倶知安町,12,くっちゃんちょう,197004,999912
174,01390,(旧)後志支庁,しりべししちょう,01401,(旧)共和村,13,きょうわむら,197004,197104
175,01390,後志総合振興局,しりべそうごうしんこうきょく,01401,(旧)共和村,13,きょうわむら,197004,197104
176,01390,(旧)後志支庁,しりべししちょう,01401,共和町,12,きょうわちょう,197104,999912
177,01390,後志総合振興局,しりべそうごうしんこうきょく,01401,共和町,12,きょうわちょう,197104,999912
178,01390,(旧)後志支庁,しりべししちょう,01402,岩内町,12,いわないちょう,197004,999912
179,01390,後志総合振興局,しりべそうごうしんこうきょく,01402,岩内町,12,いわないちょう,197004,999912
180,01390,(旧)後志支庁,しりべししちょう,01403,泊村,13,とまりむら,197004,999912
181,01390,後志総合振興局,しりべそうごうしんこうきょく,01403,泊村,13,とまりむら,197004,999912
182,01390,(旧)後志支庁,しりべししちょう,01404,神恵内村,13,かもえないむら,197004,999912
183,01390,後志総合振興局,しりべそうごうしんこうきょく,01404,神恵内村,13,かもえないむら,197004,999912
184,01390,(旧)後志支庁,しりべししちょう,01405,積丹町,12,しゃこたんちょう,197004,999912
185,01390,後志総合振興局,しりべそうごうしんこうきょく,01405,積丹町,12,しゃこたんちょう,197004,999912
186,01390,(旧)後志支庁,しりべししちょう,01406,古平町,12,ふるびらちょう,197004,999912
187,01390,後志総合振興局,しりべそうごうしんこうきょく,01406,古平町,12,ふるびらちょう,197004,999912
188,01390,(旧)後志支庁,しりべししちょう,01407,仁木町,12,にきちょう,197004,999912
189,01390,後志総合振興局,しりべそうごうしんこうきょく,01407,仁木町,12,にきちょう,197004,999912
190,01390,(旧)後志支庁,しりべししちょう,01408,余市町,12,よいちちょう,197004,999912
191,01390,後志総合振興局,しりべそうごうしんこうきょく,01408,余市町,12,よいちちょう,197004,999912
192,01390,(旧)後志支庁,しりべししちょう,01409,赤井川村,13,あかいがわむら,197004,999912
193,01390,後志総合振興局,しりべそうごうしんこうきょく,01409,赤井川村,13,あかいがわむら,197004,999912
194,01000,北海道,ほっかいどう,01420,(旧)空知支庁,5,そらちしちょう,197004,201004
195,01000,北海道,ほっかいどう,01420,空知総合振興局,5,そらちそうごうしんこうきょく,201004,999912
196,01420,(旧)空知支庁,そらちしちょう,01421,(旧)北村,13,きたむら,197004,200603
197,01420,空知総合振興局,そらちそうごうしんこうきょく,01421,(旧)北村,13,きたむら,197004,200603
198,01420,(旧)空知支庁,そらちしちょう,01422,(旧)栗沢町,12,くりさわちょう,197004,200603
199,01420,空知総合振興局,そらちそうごうしんこうきょく,01422,(旧)栗沢町,12,くりさわちょう,197004,200603
200,01420,(旧)空知支庁,そらちしちょう,01423,南幌町,12,なんぽろちょう,197004,999912
201,01420,空知総合振興局,そらちそうごうしんこうきょく,01423,南幌町,12,なんぽろちょう,197004,999912
202,01420,(旧)空知支庁,そらちしちょう,01424,奈井江町,12,ないえちょう,197004,999912
203,01420,空知総合振興局,そらちそうごうしんこうきょく,01424,奈井江町,12,ないえちょう,197004,999912
204,01420,(旧)空知支庁,そらちしちょう,01425,上砂川町,12,かみすながわちょう,197004,999912
205,01420,空知総合振興局,そらちそうごうしんこうきょく,01425,上砂川町,12,かみすながわちょう,197004,999912
206,01420,(旧)空知支庁,そらちしちょう,01426,(旧)江部乙町,12,えべおつちょう,197004,197104
207,01420,空知総合振興局,そらちそうごうしんこうきょく,01426,(旧)江部乙町,12,えべおつちょう,197004,197104
208,01420,(旧)空知支庁,そらちしちょう,01427,由仁町,12,ゆにちょう,197004,999912
209,01420,空知総合振興局,そらちそうごうしんこうきょく,01427,由仁町,12,ゆにちょう,197004,999912
210,01420,(旧)空知支庁,そらちしちょう,01428,長沼町,12,ながぬまちょう,197004,999912
211,01420,空知総合振興局,そらちそうごうしんこうきょく,01428,長沼町,12,ながぬまちょう,197004,999912
212,01420,(旧)空知支庁,そらちしちょう,01429,栗山町,12,くりやまちょう,197004,999912
213,01420,空知総合振興局,そらちそうごうしんこうきょく,01429,栗山町,12,くりやまちょう,197004,999912
214,01420,(旧)空知支庁,そらちしちょう,01430,月形町,12,つきがたちょう,197004,999912
215,01420,空知総合振興局,そらちそうごうしんこうきょく,01430,月形町,12,つきがたちょう,197004,999912
216,01420,(旧)空知支庁,そらちしちょう,01431,浦臼町,12,うらうすちょう,197004,999912
217,01420,空知総合振興局,そらちそうごうしんこうきょく,01431,浦臼町,12,うらうすちょう,197004,999912
218,01420,(旧)空知支庁,そらちしちょう,01432,新十津川町,12,しんとつかわちょう,197004,999912
219,01420,空知総合振興局,そらちそうごうしんこうきょく,01432,新十津川町,12,しんとつかわちょう,197004,999912
220,01420,(旧)空知支庁,そらちしちょう,01433,妹背牛町,12,もせうしちょう,197004,999912
221,01420,空知総合振興局,そらちそうごうしんこうきょく,01433,妹背牛町,12,もせうしちょう,197004,999912
222,01420,(旧)空知支庁,そらちしちょう,01434,秩父別町,12,ちっぷべつちょう,197004,999912
223,01420,空知総合振興局,そらちそうごうしんこうきょく,01434,秩父別町,12,ちっぷべつちょう,197004,999912
224,01420,(旧)空知支庁,そらちしちょう,01436,雨竜町,12,うりゅうちょう,197004,999912
225,01420,空知総合振興局,そらちそうごうしんこうきょく,01436,雨竜町,12,うりゅうちょう,197004,999912
226,01420,(旧)空知支庁,そらちしちょう,01437,北竜町,12,ほくりゅうちょう,197004,999912
227,01420,空知総合振興局,そらちそうごうしんこうきょく,01437,北竜町,12,ほくりゅうちょう,197004,999912
228,01420,(旧)空知支庁,そらちしちょう,01438,沼田町,12,ぬまたちょう,197004,999912
229,01420,空知総合振興局,そらちそうごうしんこうきょく,01438,沼田町,12,ぬまたちょう,197004,999912
230,01420,(旧)空知支庁,そらちしちょう,01439,(旧)幌加内町,12,ほろかないちょう,197004,201004
231,01420,空知総合振興局,そらちそうごうしんこうきょく,01439,(旧)幌加内町,12,ほろかないちょう,197004,201004
232,01000,北海道,ほっかいどう,01450,(旧)上川支庁,5,かみかわしちょう,197004,201004
233,01000,北海道,ほっかいどう,01450,上川総合振興局,5,かみかわそうごうしんこうきょく,201004,999912
234,01450,(旧)上川支庁,かみかわしちょう,01451,(旧)東鷹栖町,12,ひがしたかすちょう,197004,197103
235,01450,上川総合振興局,かみかわそうごうしんこうきょく,01451,(旧)東鷹栖町,12,ひがしたかすちょう,197004,197103
236,01450,(旧)上川支庁,かみかわしちょう,01452,鷹栖町,12,たかすちょう,197004,999912
237,01450,上川総合振興局,かみかわそうごうしんこうきょく,01452,鷹栖町,12,たかすちょう,197004,999912
238,01450,(旧)上川支庁,かみかわしちょう,01453,東神楽町,12,ひがしかぐらちょう,197004,999912
239,01450,上川総合振興局,かみかわそうごうしんこうきょく,01453,東神楽町,12,ひがしかぐらちょう,197004,999912
240,01450,(旧)上川支庁,かみかわしちょう,01454,当麻町,12,とうまちょう,197004,999912
241,01450,上川総合振興局,かみかわそうごうしんこうきょく,01454,当麻町,12,とうまちょう,197004,999912
242,01450,(旧)上川支庁,かみかわしちょう,01455,比布町,12,ぴっぷちょう,197004,999912
243,01450,上川総合振興局,かみかわそうごうしんこうきょく,01455,比布町,12,ぴっぷちょう,197004,999912
244,01450,(旧)上川支庁,かみかわしちょう,01456,愛別町,12,あいべつちょう,197004,999912
245,01450,上川総合振興局,かみかわそうごうしんこうきょく,01456,愛別町,12,あいべつちょう,197004,999912
246,01450,(旧)上川支庁,かみかわしちょう,01457,上川町,12,かみかわちょう,197004,999912
247,01450,上川総合振興局,かみかわそうごうしんこうきょく,01457,上川町,12,かみかわちょう,197004,999912
248,01450,(旧)上川支庁,かみかわしちょう,01458,東川町,12,ひがしかわちょう,197004,999912
249,01450,上川総合振興局,かみかわそうごうしんこうきょく,01458,東川町,12,ひがしかわちょう,197004,999912
250,01450,(旧)上川支庁,かみかわしちょう,01459,美瑛町,12,びえいちょう,197004,999912
251,01450,上川総合振興局,かみかわそうごうしんこうきょく,01459,美瑛町,12,びえいちょう,197004,999912
252,01450,(旧)上川支庁,かみかわしちょう,01460,上富良野町,12,かみふらのちょう,197004,999912
253,01450,上川総合振興局,かみかわそうごうしんこうきょく,01460,上富良野町,12,かみふらのちょう,197004,999912
254,01450,(旧)上川支庁,かみかわしちょう,01461,中富良野町,12,なかふらのちょう,197004,999912
255,01450,上川総合振興局,かみかわそうごうしんこうきょく,01461,中富良野町,12,なかふらのちょう,197004,999912
256,01450,(旧)上川支庁,かみかわしちょう,01462,南富良野町,12,みなみふらのちょう,197004,999912
257,01450,上川総合振興局,かみかわそうごうしんこうきょく,01462,南富良野町,12,みなみふらのちょう,197004,999912
258,01450,(旧)上川支庁,かみかわしちょう,01463,占冠村,13,しむかっぷむら,197004,999912
259,01450,上川総合振興局,かみかわそうごうしんこうきょく,01463,占冠村,13,しむかっぷむら,197004,999912
260,01450,(旧)上川支庁,かみかわしちょう,01464,和寒町,12,わっさむちょう,197004,999912
261,01450,上川総合振興局,かみかわそうごうしんこうきょく,01464,和寒町,12,わっさむちょう,197004,999912
262,01450,(旧)上川支庁,かみかわしちょう,01465,剣淵町,12,けんぶちちょう,197004,999912
263,01450,上川総合振興局,かみかわそうごうしんこうきょく,01465,剣淵町,12,けんぶちちょう,197004,999912
264,01450,(旧)上川支庁,かみかわしちょう,01466,(旧)朝日町,12,あさひちょう,197004,200509
265,01450,上川総合振興局,かみかわそうごうしんこうきょく,01466,(旧)朝日町,12,あさひちょう,197004,200509
266,01450,(旧)上川支庁,かみかわしちょう,01467,(旧)風連町,12,ふうれんちょう,197004,200603
267,01450,上川総合振興局,かみかわそうごうしんこうきょく,01467,(旧)風連町,12,ふうれんちょう,197004,200603
268,01450,(旧)上川支庁,かみかわしちょう,01468,下川町,12,しもかわちょう,197004,999912
269,01450,上川総合振興局,かみかわそうごうしんこうきょく,01468,下川町,12,しもかわちょう,197004,999912
270,01450,(旧)上川支庁,かみかわしちょう,01469,美深町,12,びふかちょう,197004,999912
271,01450,上川総合振興局,かみかわそうごうしんこうきょく,01469,美深町,12,びふかちょう,197004,999912
272,01450,(旧)上川支庁,かみかわしちょう,01470,音威子府村,13,おといねっぷむら,197004,999912
273,01450,上川総合振興局,かみかわそうごうしんこうきょく,01470,音威子府村,13,おといねっぷむら,197004,999912
274,01450,(旧)上川支庁,かみかわしちょう,01471,中川町,12,なかがわちょう,197004,999912
275,01450,上川総合振興局,かみかわそうごうしんこうきょく,01471,中川町,12,なかがわちょう,197004,999912
276,01450,(旧)上川支庁,かみかわしちょう,01472,幌加内町,12,ほろかないちょう,201004,999912
277,01450,上川総合振興局,かみかわそうごうしんこうきょく,01472,幌加内町,12,ほろかないちょう,201004,999912
278,01000,北海道,ほっかいどう,01480,(旧)留萌支庁,5,るもいしちょう,197004,201004
279,01000,北海道,ほっかいどう,01480,留萌振興局,5,るもいしんこうきょく,201004,999912
280,01480,(旧)留萌支庁,るもいしちょう,01481,増毛町,12,ましけちょう,197004,999912
281,01480,留萌振興局,るもいしんこうきょく,01481,増毛町,12,ましけちょう,197004,999912
282,01480,(旧)留萌支庁,るもいしちょう,01482,小平町,12,おびらちょう,197004,999912
283,01480,留萌振興局,るもいしんこうきょく,01482,小平町,12,おびらちょう,197004,999912
284,01480,(旧)留萌支庁,るもいしちょう,01483,苫前町,12,とままえちょう,197004,999912
285,01480,留萌振興局,るもいしんこうきょく,01483,苫前町,12,とままえちょう,197004,999912
286,01480,(旧)留萌支庁,るもいしちょう,01484,羽幌町,12,はぼろちょう,197004,999912
287,01480,留萌振興局,るもいしんこうきょく,01484,羽幌町,12,はぼろちょう,197004,999912
288,01480,(旧)留萌支庁,るもいしちょう,01485,初山別村,13,しょさんべつむら,197004,999912
289,01480,留萌振興局,るもいしんこうきょく,01485,初山別村,13,しょさんべつむら,197004,999912
290,01480,(旧)留萌支庁,るもいしちょう,01486,遠別町,12,えんべつちょう,197004,999912
